,category,Label,Category
304,Construction Materials in Yangon,15,Construction
305,Construction Services in Yangon,77,Construction
306,Consular List in Yangon,93,Government
307,Consultants [Business] in Yangon,81,Service
308,Consultants [Computer] in Yangon,19,Service
309,Consultants [Construction] in Yangon,8,Service
310,Consultants [Finance] in Yangon,31,Finance
311,Consultants [Legal] in Yangon,73,Service
312,Consultants & Consultancy Services in Yangon,1,Service
313,Consumer Products in Yangon,61,Merchant
314,Contact Lenses in Yangon,9,Health & Medicine
315,Container Services in Yangon,74,Service
316,Contractors [Building] in Yangon,67,Construction
317,Convenience Stores in Yangon,67,Merchant
318,Cooking Oil [Vegetable] in Yangon,24,Food
319,Cooking Oil in Yangon,40,Food
320,Cooking Oil Mills in Yangon,52,Equipment & Supplies
321,Cooperative Offices in Yangon,31,Office
322,Cosmetic Surgeries in Yangon,94,Health & Medicine
323,Cosmetics in Yangon,32,Cosmetic
324,Cotton Gins in Yangon,27,Equipment & Supplies
325,Cotton Mills in Yangon,58,Manufacturing
326,Courier Services & Delivery Services in Yangon,7,Service
327,Courts in Yangon,15,Government
328,Crane Hires in Yangon,42,Service
329,Crane Sales & Services in Yangon,39,Equipment & Supplies
330,Credit Cards in Yangon,35,Finance
331,Curtains in Yangon,35,Home
332,Custom Clearing Agents in Yangon,8,Government
333,Cyber Cafes in Yangon,41,Entertainment
334,Dairies in Yangon,27,Food
335,Dancing Schools in Yangon,27,Education
336,Day Care Centres in Yangon,27,Education
337,Decoration Services in Yangon,27,Construction
338,Decorators & Decorating Materials in Yangon,7,Construction
339,Dehydrated Foods & Vegetables in Yangon,90,Food
340,Dental Equipment in Yangon,42,Equipment & Supplies
341,Dentists & Dental Clinics in Yangon,27,Health & Medicine
342,Dentures in Yangon,44,Health & Medicine
343,Department Stores in Yangon,27,Merchant
344,Desiccants & Dehumidifying Equipment in Yangon,39,Equipment & Supplies
345,Designers [Fashion] in Yangon,12,Service
346,Designers [Graphic] in Yangon,69,Art
347,Designers [Interior] in Yangon,55,Construction
348,Desktop Publishing Services in Yangon,81,Service
349,Detergents in Yangon,30,Chemical
350,Dhama Schools in Yangon,56,Education
351,Diagnosis Clinics in Yangon,25,Health & Medicine
352,Diamonds in Yangon,27,Jewellery
353,Dietary Supplements in Yangon,44,Health & Medicine
354,Directory Publishers in Yangon,44,Service
355,Disabled People's Equipment in Yangon,44,Health & Medicine
356,Distributors in Yangon,90,Distribution
357,District Administration Offices in Yangon,56,Office
358,Diving Equipment in Yangon,22,Equipment & Supplies
359,Dog Spas in Yangon,73,Beauty
360,Doors & Shutters Sales in Yangon,34,Equipment & Supplies
361,Dress Hires in Yangon,58,Apparel
362,Dress Makers in Yangon,46,Apparel
363,Dried Fishes & Dried Prawns in Yangon,18,Food
364,Dried Tea Leaves in Yangon,19,Food
365,Drinking Water [Manu/Dist] in Yangon,67,Manufacturing
366,Driving Schools in Yangon,28,Education
367,Drums & Barrels in Yangon,22,Equipment & Supplies
368,Dry Ice in Yangon,24,Chemical
369,Duplicating Machine Supplies & Repair in Yangon,49,Food
370,Duty Free Shops in Yangon,49,Merchant
371,Dyeing & Printing Textiles in Yangon,39,Apparel
372,Dyes in Yangon,15,Miscellaneous
373,E-Cigarettes & Accessories Supplies in Yangon,44,Health & Medicine
374,Earth Digging & Land Piling in Yangon,39,Equipment & Supplies
375,Education Services [Overseas] in Yangon,69,Education
376,Education Services in Yangon,22,Education
377,Egg Merchants in Yangon,58,Food
378,Electric Bike Sales Centres in Yangon,69,Automotive
379,Electric Fans Sales & Repair in Yangon,24,Sales & Repair
380,Electric Motors & Dynamo Sales & Repair in Yangon,24,Sales & Repair
381,Electrical & Mechanical Services in Yangon,24,Service
382,Electrical Goods Repair in Yangon,24,Sales & Repair
383,Electrical Goods Sales in Yangon,24,Equipment & Supplies
384,Electricians & Electrical Contractors in Yangon,37,Construction
385,Electricity Supply Authorities in Yangon,61,Government
386,Electronic & Electrical Home Appliance in Yangon,9,Home
387,Electronic Dictionaries in Yangon,9,Computer & Electronics
388,Electronic Equipment Sales & Repair in Yangon,70,Sales & Repair
389,Electroplating & Metal Finishing Services in Yangon,98,Service
390,Email Services in Yangon,8,Service
391,Embassies in Yangon,5,Government
392,Embroidery Machines & Services in Yangon,5,Service
393,Emeralds in Yangon,5,Jewellery
394,Employment Agencies in Yangon,5,Agency
395,Engine Boring Workshops in Yangon,5,Service
396,Engine Lubricants in Yangon,5,Automotive
