contact,name,township,street,state,Category
" 01243729, 09425029331, 095197212",Shwe Pearl,Pabedan,"172, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 0973051664, 0973126358",Pyi Myanmar,Pabedan,"182, 31st St., Upper Block,",Yangon Region,Equipment & Supplies
" 09776292047, 09796570780, 09420291457",Raju [Ko],East Dagon,"158/B, Nga Htwai Yue St., Ward (8),",Yangon Region,Equipment & Supplies
" 01643744, 01644120, 095109517",Pathi [U],Insein,"50 Shed, Rm 3~8, Nilar 6th St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
" 01242775 Ext.2168, 0973170127, 0973232820",Sagawah,Latha,"D Shed, Rm F/536, Underground, Thein Gyi Market,",Yangon Region,Equipment & Supplies
 0973139910,Pae Lue [U],South Dagon,"1108, Pyi Htaung Su Rd., Ward (21),",Yangon Region,Equipment & Supplies
" 01384212, 01384500, 095109873, 0973114450",Nyi Nyi,Pabedan,"163, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 0973212455,Nilar [Ma],Insein,"72/A Shed, Rm 10, Nilar 5th St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
" 01374208, 09448008765",Nyein Chan Yae,Pabedan,"35/B, 28th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01371636, 01252652, 01381939, 01254253",Shwe La Wun,Pabedan,"133, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 09448010312,Sein Tun [U],Pabedan,"170, 28th St., Upper Block,",Yangon Region,Equipment & Supplies
" 09421176919, 09795286865",Sein,Mingalar Taung Nyunt,"50, Maha Thukha St., Kyi Taw Ward,",Yangon Region,Equipment & Supplies
" 095107397, 09420461800",Sein Win [U],Pazundaung,"226, Botahtaung Zay St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 09450032874,Sann Htwe [U],Thaketa,"Rm 6, Shukhin Thar Myo Patt Rd., Near No(5)Market, Ward (5),",Yangon Region,Equipment & Supplies
" 01378231, 0973100763, 0973202736, 095120604",San Pya,Pabedan,"149, 1st Flr, 31st St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 01373438, 0949312947, 0973104600, 09251116662",Sandar Oo,Pabedan,"136, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 095143174, 09250684437",Shine,Hlaing,"Bldg 4, Rm 5, G Flr, Bayint Naung Rd., Bayint Naung Housing,",Yangon Region,Equipment & Supplies
" 01370900, 01241706, 095478654, 0973137786",Sann Thawdar,Pabedan,"147, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 098586411, 09770022199, 01254995","Tet Nadi Co.,Ltd.",Dagon Seikkan,"88,Phan Chet Wun U Shwe Oh St.,Industrial Zone",Yangon Region,Equipment & Supplies
" 095131408, 095172898, 01376201, 01384697",Super Star,Pabedan,"219, 31st St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 0973057097,Than Chaung [Ko],Hlaing Thar Yar,"993/995, Thu Dhama St., Ward (5),",Yangon Region,Equipment & Supplies
" 0931061049, 01388931 [Res]",Star World,Pabedan,"1 Shed, Rm 19, New Bogyoke Aung San Market,",Yangon Region,Equipment & Supplies
 0943098153,Than Than Aye [Ma],Pabedan,"207, 30th St., Upper Block,",Yangon Region,Equipment & Supplies
" 01252609, 01380723, 095122884",Shwe Nat Thamee,Pabedan,"108, 31st St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 01378231, 0973100763, 0973202736, 095120604, 09448010440",San Pya,Pabedan,"141/144, 1st Flr, 31st St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 0973199525, 095177756",Than Than Htay [Daw],Tarmwe,"22, 138th St., Ma U Gone Ward,",Yangon Region,Equipment & Supplies
" 01378263, 0973048202, 09975111190",Shwe Sin,Pabedan,"127, 31st St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 01592351,Shwe Naing Ngan,Dagon Seikkan,"88/89, Yaw Ah Twin Wun U Pho Hlaing St., Industrial Zone,",Yangon Region,Equipment & Supplies
" 0973257230, 0931547263, 098637049",Tin Tin Win [Ma],Pabedan,"145, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 01246138, 09250642053",Tin Aung [U],Pabedan,"183, 31st St., Upper Block,",Yangon Region,Equipment & Supplies
 09254068041,Tin Myint [Ko],South Okkalapa ,"Min Ye Kyaw Swar St.,USDA Compound,Ward (7)",Yangon Region,Equipment & Supplies
" 01373355, 018631444, 0973009321, 01388542 [Res]",Tiger World,Pabedan,"C Shed, Rm 1/A, Thein Gyi Market,",Yangon Region,Equipment & Supplies
" 095077303, 01695305, 0973073212",Thein Win [U],North Okkalapa ,"146, Kanaung Min Thar Gyi St., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
" 09420082693, 09979237855",Thidar [Daw],Pazundaung,"Rm 12~15, Late Kan St., Late Kan Pan Chan Market,",Yangon Region,Equipment & Supplies
" 01389766, 01245942, 09796578669, 01375293, 0973001705, 098622624, 09975111180",Than [Zarmani],Pabedan,"146, 31st St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 01245940, 01245076, 01375076, 095127500","Than [KTS Oversea Trading Co.,Ltd.]",Pabedan,"149, 31st St., Upper Middle Block,",Yangon Region,Equipment & Supplies
" 01389781, 095143274",Thaung Myint [Ko],Pabedan,"97,28th St.,Upper Middle Block",Yangon Region,Equipment & Supplies
" 095121091, 01376380",Than Win [U],Pabedan,"61, Bo Soon Pat St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01534247, 0973136360",Yin Aung [U],Hlaing,"210, Dhama Thukha Kyaung St., Ward (7),",Yangon Region,Equipment & Supplies
 09420285223,Win Myint [Ko],Pazundaung,"208, Botahtaung Zay St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 01373512,Win Ko,Pabedan,"170, 31st St., Upper Block,",Yangon Region,Equipment & Supplies
" 01540868, 01551477, 01430032","Win Mya Int'l Co.,Ltd.",Tarmwe,"6/A, Dhama Darna St., Nat Chaung Condo, Nat Chaung Ward,",Yangon Region,Equipment & Supplies
" 092305906, 09444000979, 0949278211",Tun Thiha,Pabedan,"59, 31st St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01253083, 095138059, 0973051169, 0973206820",Win Shwe,Pabedan,"121/125, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 095046577,Tun Wa [U],Insein,"89/A, Nga Sein St., Myo Thit (Ga-Nge) Ward,",Yangon Region,Equipment & Supplies
" 095115648, 01514465, 095015193",Yaung Chi Oo,Hlaing,"97/100, 58th St., Ward (7),",Yangon Region,Equipment & Supplies
 01651314,Tun Tun [U],North Okkalapa ,"Thida St., Corner of Thu Zi Tar St.,Ward (2),",Yangon Region,Equipment & Supplies
" 01254219, 01242279, 095149301",Tin Win,Pabedan,"161, 32nd St., Upper Middle Block,",Yangon Region,Equipment & Supplies
 095066772,Zaw Lay [Ko],Pabedan,"231, 32nd St., Upper Block,",Yangon Region,Equipment & Supplies
 095051323,Zaw Y  Tun [Ko],North Okkalapa ,"183, Thu Nandar 13th St., Sa Lein Ward,",Yangon Region,Equipment & Supplies
" 01248203, 01374780",Zeyar Tun,Pabedan,"193, 32nd St., Upper Block,",Yangon Region,Equipment & Supplies
" 01544678, 0933098135, 09253939958, 0931594665","Amethyst Co.,Ltd.",Tarmwe,"78, Aw Ba St., Kyauk Myaung Gyi Ward,",Yangon Region,Agriculture
" 01544678, 0933098135, 09253939958, 0931594665","Amethyst Co.,Ltd.",Tarmwe,"78, Aw Ba St., Kyauk Myaung Gyi Ward,",Yangon Region,Agriculture
" 01382710 Ext.40605, 01382720 Ext.40605, 095161702, 095106056","Bayer Thai Co.,Ltd. [Bayer Health Care] [Myanmar Branch]",Dagon,"Rm 406/407, 4th Flr, Shwe Dagon Pagoda Rd., Prime Hill Business Square,",Yangon Region,Agriculture
" 01382710 Ext.40605, 01382720 Ext.40605, 095161702, 095106056","Bayer Thai Co.,Ltd. [Bayer Health Care] [Myanmar Branch]",Dagon,"Rm 406/407, 4th Flr, Shwe Dagon Pagoda Rd., Prime Hill Business Square,",Yangon Region,Agriculture
" 012301124, 012301125, 0931692893","Advanced Synergy Co.,Ltd.",Lanmadaw,"88, Shwe Taung Dan St., Middle Block,",Yangon Region,Health & Medicine
" 01253231, 01242651, 01251451",AA Pharmacy,Kyauktada,"146, Sule Pagoda Rd., Middle Block,",Yangon Region,Health & Medicine
" 01652717, 01660923, 01662749","Thet Paing Soe Co.,Ltd.",Mayangone,"45, Pyay Rd., Corner of Tay Nu Yin St., 7  Mile, Ward (7),",Yangon Region,Health & Medicine
" 0931180116, 01552822, 01558403","Young Healthcare Co.,Ltd.",Bahan,"Rm 809/A/B, 8th Flr, Shwe Gon Daing Rd., Yuzana Tower,",Yangon Region,Health & Medicine
" 01571797, 01579421","Zabu Mandai Co.,Ltd.",Thingangyun,"182,Waiza Yan Tar Yeik Thar 1st St.,Waizayantar Garden Housing",Yangon Region,Health & Medicine
" 01391166, 01246645","Zizawah Health Care Co.,Ltd.",Kyauktada,"343, 2nd Flr, Bo Aung Kyaw St., Upper Block,",Yangon Region,Health & Medicine
" 01373388, 01381079, 01381048, 01385083, 01385081, 09977921033","Diamond Star Co.,Ltd. [Head Office]",Dagon,"9, Bldg C1/C2, Yaw Min Gyi St., Yaw Min Gyi Ward,",Yangon Region,Manufacturing
" 01578550, 095106097",Lo Kin Saing,Yankin,"209, Kanbei Butar Yon Rd., Near Kanbei Market, Ward (12),",Yangon Region,Equipment & Supplies
" 09961617789, 09979370377","United Ayer Engineering Co.,Ltd.",South Dagon,"517, Inntaw St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 09797553672, 095028708, 095124409","Vi Va Blast [Myanmar] Co.,Ltd.",North Okkalapa ,"38, Bagan Rd., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
" 0943059412, 0943058811",Aung Myin Thu,Pyigyi Tagon,"Nya Nya-74/18, Min Ye Kyaw Swar St., Between 49 St. and 50 St.,",Mandalay Region,Construction
" 09450099610, 09450450363",Shwe Sate Kyake,Pazundaung,"37, G Flr, 54th St.,",Yangon Region,Construction
" 0943050017, 0943032671, 09458115590",Signature,East Dagon,"360, Innwa St., Ward (6),",Yangon Region,Construction
" 095400523, 095167684, 0949607077, 095034204, 0930356649","Kaung United Co.,Ltd.",Mayangone,"108, Hnin Si St., Corner of Gandamar St.,Ward (2),",Yangon Region,Construction
" 09792677508, 09972494646",Eleven 11,Insein,"75, Maha Thukhitar St., Gyoh Gone (East) Ward,",Yangon Region,Construction
" 09423724538, 09423714695, 09254279960",Kaung Star,North Okkalapa ,"886, Sabei 9th St., Hta Wun Bae Ward,",Yangon Region,Construction
" 098595321, 095051891",Kyaw Painting Group,Tarmwe,"Bldg E, Rm 103, 1st Flr, Aung Mingalar St., Yuzana Mingalar City Housing,",Yangon Region,Construction
" 012304330, 0949237186, 0949335864, 095017326, 0943096807","Kawk Co.,Ltd.",Kamayut,"24/H, Rm 2/A, 2nd Flr, Nar Nat Taw Rd., Ward (8),",Yangon Region,Construction
" 09785147430, 095147430","TCP Decorative Wall Painting Co.,Ltd.",South Okkalapa ,"13, Thiri Mingalar St., Padaethar Bus Stop, Ward (10),",Yangon Region,Construction
" 09420025875, 09420064640","Zone Wave Int'l Co.,Ltd.",Thingangyun,"Bldg 6, Rm 32, Aung Myittar St., Kyee Pwar Yae Housing,",Yangon Region,Equipment & Supplies
 01554102,"TOA Paint Myanmar Co.,Ltd.",Tarmwe,"Bldg S/15, West Race Course Rd., U Chit Maung Housing,",Yangon Region,Equipment & Supplies
" 09795891061, 09795891062",Jotun,South Dagon,"2834/A, Ayeyar Waddy St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 09252687355, 01512926","Advance Tech Myanmar Co.,Ltd.",Pazundaung,"196, 1st Flr, 50th St., Upper Block,",Yangon Region,Equipment & Supplies
" 01640531, 09421091667",Kansai Paint,Insein,"211, Lan Thit Rd.,",Yangon Region,Equipment & Supplies
" 0943050017, 09254121558","Trasco Trading Co., Ltd.",Insein,"272, Min Gyi Rd.,",Yangon Region,Equipment & Supplies
" 01386792, 01389742",Mya Theingi,Pabedan,"84-B, 26th St.,",Yangon Region,Equipment & Supplies
" 09264153024, 09264153025",NIPPON PAINT,South Okkalapa ,"69, Waiza Yan Tar Rd.,",Yangon Region,Equipment & Supplies
 095062399,Aung Mingalar,Tarmwe,"A3-001, Banyar Dala Rd., Corner of Kant Kaw St.,",Yangon Region,Equipment & Supplies
" 0943162438, 09254122284",Kaung Htet Kyaw,Tarmwe,"79, Thamain Bayan Rd.,   Tarmwe Plaza Bus Stop,",Yangon Region,Equipment & Supplies
 095126879,Khaing Zaw (Nawaday),Mayangone,"106, Nawaday Cinema, Ward (5),",Yangon Region,Equipment & Supplies
" 019640172, 01572173","4s Group Co.,Ltd.",Insein,"20 Shed,Rm 6~10,Padamyar 5th St.,Sawbwargyi Gone Warehouses",Yangon Region,Equipment & Supplies
" 095168562, 09254410043, 095169463",Aung Thu,Thingangyun,"937, Zahtila 2nd St., 16/1 Ward,",Yangon Region,Equipment & Supplies
" 09420220218, 0973205342, 09250515159, 0978622021",Aung Ko Ko,Pabedan,"70, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 095019959, 0973011456",Aung Chinthae,Thaketa,"157, Myin Taw Thar Rd., Ward (2-North),",Yangon Region,Equipment & Supplies
" 09257488782, 09264573098","Alligator Co.,Ltd.",North Okkalapa ,"Bldg J, Rm 30/31, Thiri Yadanar Retail/Wholesale Market,",Yangon Region,Equipment & Supplies
 09255705909,Aung Mon Thein,South Dagon,"381, Set Hmu 2nd St., East Dagon Industrial Zone (2),",Yangon Region,Equipment & Supplies
 01295795,Aung Myo Hein,Mingalar Taung Nyunt,"149, Upper Pazundaung Rd., Kyi Taw Ward,",Yangon Region,Equipment & Supplies
" 01654810~19, 01654844, 01654848","Akzo Nobel Co.,Ltd.",Hlaing,"Bldg 18, 6th Flr, MICT Park,",Yangon Region,Equipment & Supplies
" 01252051, 01246244, 01378910, 01200821, 0973202823",71,Pabedan,"17, Kon Zay Dan St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 09254029517, 09420096120",ADF Myanmar Ltd.,Thingangyun,"Bldg 3, Rm 001, Than Thu Mar Rd., Thuwunna Housing, Thuwana/24 Ward,",Yangon Region,Equipment & Supplies
 09421719236,"De Smart Paint Co.,Ltd.",Hlaing Thar Yar,"Bldg B/81, Rm 9, Kyan Sit Thar St., Nawaday Shop House,",Yangon Region,Equipment & Supplies
" 09420238209, 09420094029, 01547054","Colourful Trading Co.,Ltd.",Thaketa,"60, Taung Zalatt St., Mya Khwar Nyo Housing [Wah Wah Win], Set Hmu Let Hmu Ward,",Yangon Region,Equipment & Supplies
" 01642093, 0973033734, 01705610",Cherry Trading,Insein,"93 Shed, Rm 8/9, Pearl St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
,Chugoku Marine And Industries Paint,Ahlone,"Rm 2/L, 2nd Flr, Strand Rd., Royal Sin Min Condo,",Yangon Region,Equipment & Supplies
" 095140759, 09972092655",Bo Gyi [U],South Dagon,"1077, Phayar St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 01710366, 095133813",BL,Pabedan,"18/C, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 095004147, 098612174, 0973091065",Berger Paint Mfg Ltd.,Mingalardon,"34/A, No.(3) Main Rd., Pyinmabin Industrial Zone,",Yangon Region,Equipment & Supplies
" 01240693, 095140759, 09250354140, 09785140759, 0931860028, 09250354140",Bo Gyi [U],Pabedan,"44, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
 01640319,Barbu [Ko],Insein,"120, Hlaing River Rd., Zay Gone (West) Ward,",Yangon Region,Equipment & Supplies
" 0973903998, 09421094013, 01541592",Chan Myae,Thaketa,"61/B, Aung Tha Pyay St., Ward (7-East),",Yangon Region,Equipment & Supplies
" 0973172009, 095131341, 0973172009",Great Shine,Tarmwe,"383/A, Kyaikkasan Rd., Tarmway Gyee (Kha) Ward,",Yangon Region,Equipment & Supplies
" 01684810, 01685831, 01687884, 01687886, 01687906","General Paints & Chemical Industry Co.,Ltd. [GP]",Hlaing Thar Yar,"46/47, U Yay Paw St., Industrial Zone (2), Near Zone Market,",Yangon Region,Equipment & Supplies
 09776451145,Forever Young Myanmar Group,Pabedan,"125, Kon Zay Dan St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 095015386, 09965015386","Green Myanmar Dragon Co.,Ltd.",South Okkalapa ,"64, Waiza Yan Tar Rd., Ward (8),",Yangon Region,Equipment & Supplies
" 09264153024~25, 09265389590","Forever Young Myanmar Group Mfg Co.,Ltd",South Okkalapa ,"Waiza Yan Tar Rd., Ward (11),",Yangon Region,Equipment & Supplies
" 01240248, 01253483, 01383940",Good Year Paint,Pabedan,"65/A, 25th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
 0973020800,Great One,Tarmwe,"276, Banyar Dala Rd., Kyauk Myaung Gyi Ward,",Yangon Region,Equipment & Supplies
" 01642602, 01643626, 0930210258",Diamond Horse,Insein,"32 Shed, Rm 10, Kyauk Sein 7th St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
" 09254127295, 0973084290",Diamond Brother,Pabedan,"88/B, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01505031, 095417036, 09450035462, 095129004",Diamanda Blossoms Painting,Hlaing,"Bldg 8, Rm 001/002, Aye Yeik Mon 8th St., Ward (5),",Yangon Region,Equipment & Supplies
" 01394089, 0973103120",Htate Tan,Mingalar Taung Nyunt,"55, 93th St., Kan Daw Kalay (South) Ward,",Yangon Region,Equipment & Supplies
" 01383825, 09420032299, 01242775 Ext.2322",In Saw [Ko],Pabedan,"27/29, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01565424, 09420223668, 098636611, 0931130004","Htoo Htet Thar Co.,Ltd.",Thingangyun,"337, Pyi Tharyar St., 16/3 Ward,",Yangon Region,Equipment & Supplies
" 01373908, 0973202526","Hu Sein [Haji, U] & Sons",Pabedan,"64, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 0931675441, 09421123954",Htate Tan,Yankin,"5, Kanbei Butar Yon Rd., Ward (11),",Yangon Region,Equipment & Supplies
 0973085604,Hein,Hlaing,"Rm 4, Oakkyin Butar Yon St., Ka Pa Ya Compound, Ward (15),",Yangon Region,Equipment & Supplies
" 01252640, 01385282, 01385332",Hla Myintzu,Pabedan,"93, Kon Zay Dan St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01250481, 095178432",Hnin Taung,Pabedan,"693/701,Rm 11,Merchant Rd.,Classic Strand Condominium",Yangon Region,Equipment & Supplies
" 095125409, 09250269616",Kaung Htet,South Dagon,"473, Pyi Htaung Su Rd., Ward (25),",Yangon Region,Equipment & Supplies
" 095050440, 09253995234",Kaung Kyaw,Shwe Pyi Thar,"472, No.(4) Main Rd., Near Phone Gyi Kyaung Bus Stop, Zee Kone Ward,",Yangon Region,Equipment & Supplies
 01377620,"Kansai Paint Myanmar Co.,Ltd",Pabedan,"43, Kon Zay Dan St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01566716, 01566843","Jotun Myanmar Services Co.,Ltd.",Thingangyun,"G/7,Lay Daunt Kan Rd.,May Kha Housing,(Sa-Lein/Kha) Ward",Yangon Region,Equipment & Supplies
" 01577585, 09798042832, 0931786763, 09262530003","Jotun Myanmar Services Co.,Ltd.",Thingangyun,"6/1, Than Thu Mar Rd., Thuwana/23 (Su Paung) Ward,",Yangon Region,Equipment & Supplies
" 0973064762, 09795657783",Jotun,Hlaing Thar Yar,"Bldg B/93, Rm 1, Kyan Sit Thar St., Nawaday Shop House,",Yangon Region,Equipment & Supplies
" 01216110, 095160922, 01254526",Han Shwe [Ko],Pabedan,"59, 25th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01640531, 01642198","Hnin Thazin Oo Co.,Ltd.",Insein,"211, Lan Thit Rd., Nant Thar Gone Ward,",Yangon Region,Equipment & Supplies
 09250366061,Ingyin,South Dagon,"Rm 10, Pyi Htaung Su Rd., Near Township Immigration Office Shop Room, Ward (64),",Yangon Region,Equipment & Supplies
" 01642198, 01640531","Kansai Paint Myanmar Co.,Ltd.",Shwe Pyi Thar,"120/121, Bayint Naung Rd., Industrial Zone (4),",Yangon Region,Equipment & Supplies
" 01558989, 01400992, 01401284, 01401280, 01559403~6","International Construction Material Co.,Ltd. [Multilac]",Bahan,"79/B/1/B/2, Shwe Gon Daing Rd., Shwe Gon Daing (East) Ward,",Yangon Region,Equipment & Supplies
" 01382500, 0973001936",Kyaw Oo [U],Pabedan,"85/C, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 095008476, 09251024991, 01708567",Kyaung Hnit Kaung,North Okkalapa ,"188, Thu Mate Tar 6th St., Ward (1),",Yangon Region,Equipment & Supplies
" 01695343, 01695342",Kyaung Hnit Kaung,North Okkalapa ,"300/301, Kanaung 4th St., Shwe Pauk Kan Industrial Zone,",Yangon Region,Equipment & Supplies
" 09795906416, 09252270505, 011244505, 0162939, 01227620, 095130923, 095162939",King Cat,Lanmadaw,"44/B, 1st Flr, Shwe Taung Dan St.,",Yangon Region,Equipment & Supplies
" 095126879, 01666274, 0973241695",Khaing Zaw [Nawaday],Mayangone,"Rm 106, Oak Pon Seik St., Nawaday Cinema Compound, Ward (5),",Yangon Region,Equipment & Supplies
" 0973150151, 09252910117, 01240600 Ext.4469, 098611971",Khin Maung Aye,Latha,"E Shed, Rm 68, G Flr, Thein Gyi Market,",Yangon Region,Equipment & Supplies
" 0973037961, 09250641328",Kelly-Moore,Bahan,"40, Bo Hmu Aung St., Corner of Shwe Gon Daing Rd.,Bo Sein Hman Ward,",Yangon Region,Equipment & Supplies
" 095186416, 09795746386",Kyal Ni Oo,Insein,"375, Lower Mingalardon Rd., Sint Ngu Ward,",Yangon Region,Equipment & Supplies
" 09420010832, 09254486067, 095054784",Kaung Sint,Thaketa,"Rm 52/53, Zingama Rd., G.E.C Shop Room, Ward (2-North),",Yangon Region,Equipment & Supplies
" 09250669513, 095186416",Kyal Ni Oo,Insein,"Rm A/3,Lower Mingalardon Rd.,B.E.H.S (3) Compound,Aung San Ward",Yangon Region,Equipment & Supplies
" 01656093, 0973122909","Min Dhama POS [United Paints Group Co.,Ltd.]",Mayangone,"Bldg A/6, Rm 2, G Flr, Min Dhama Rd., Shwe Kabar Housing,",Yangon Region,Equipment & Supplies
" 09796873229, 09420224401","Multilac ICM Co.,Ltd.",South Dagon,"155, Sein Ta Kyaw Thu U Aww St., East Dagon Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 095199704, 09259296129, 09250419593",M.M.G [Family],Thaketa,"Rm 7, Min Nandar Rd., Si Pin Shop Room, Ah Naw Mar Ward (1),",Yangon Region,Equipment & Supplies
" 01372400, 09250011827, 095155663",Lin Yaung Chi,Pabedan,"15,26th St.,Lower Middle Block",Yangon Region,Equipment & Supplies
" 01643602, 019640225, 098633933, 09420078386",Lin Lin Tun,Insein,"78 Shed, Rm 4/5, Nilar 8th St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
" 0973004360, 095164812",Lamin,Sanchaung,"16, Yan Shin St., Mont Let Saung Gone (South) Ward,",Yangon Region,Equipment & Supplies
" 098552745, 098595168, 01508024",Lin Latt,Pabedan,"43, 25th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 09250138504, 0943188940",Max-D,Dawbon,"Rm 18, Yamonnar Rd., Si Pin Shop Room, Yamonnar Ward (2),",Yangon Region,Equipment & Supplies
 095087287,One Star,Mingalar Taung Nyunt,"29, 98th St., Loot Latt Yay Ward,",Yangon Region,Equipment & Supplies
" 01501413, 0973004326, 095147220",Ohn Shwe [U] & Sons,Kamayut,"Bldg 2, Rm 001, Bayint Naung Rd., Hanthar Yeik Mon Housing,",Yangon Region,Equipment & Supplies
" 01374588, 095098619",Lar Lue & Brothers,Pabedan,"32, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01553974, 01554967, 09252123345, 09263891934, 09254969260, 09263129241, 09975022314, 09263129240","Myanmar Int'l FAC System Co.,Ltd.",Tarmwe,"Rm 1104, Kyaikkasan Rd., Kan Taw Gyi Tower,",Yangon Region,Equipment & Supplies
" 01655230, 0949326742, 09791164073, 09791797290",Kyaw Sein [U] & Sons,Insein,"95 Shed, Rm 16/17, Shwe Wah St., Sawbwargyi Gone Warehouses,",Yangon Region,Equipment & Supplies
" 01243764, 01252639",Ohn Shwe [U] & Sons,Pabedan,"78, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01389742, 01386792, 01250470 [Res], 095006053, 098615118, 098615118",Mya Theingi,Pabedan,"84/B, 26th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 0973240070, 09797005795, 01654810, 09420002156, 0943140501, 09420046552","Myanmar Golden Rock Int'l Co.,Ltd. [Dulux]",Kamayut,"Bldg (C), Rm 007, Hnin Si St., Yuzana Highway Complex,",Yangon Region,Equipment & Supplies
" 01384019, 01382225",Myit Ayeyar,Kyauktada,"240/A, Seikkanthar St., Upper Block,",Yangon Region,Equipment & Supplies
" 01510793, 01500641, 095015606, 098634309, 095137344",Nway Oo,Sanchaung,"142, Rm 3, Bargayar Rd., Sanchaung (North) Ward,",Yangon Region,Equipment & Supplies
" 01662436, 0973041065",Myat Thidar,North Okkalapa ,"1020/A, Thudhamar Rd., Ward (2),",Yangon Region,Equipment & Supplies
" 01524566, 0973150291",Mya Shein [U] & Sons,Kyeemyin Daing,"50, Nat Sin St., Ma Gyee Dan (North-East) Ward,",Yangon Region,Equipment & Supplies
" 01206306, 01299180, 01594188, 0973175458, 095104236","Rose, Hero, Sunflower",South Dagon,"597, Inlay 1st St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
 01430835,Sabei Phyu,Tarmwe,"20, Innwa St., Kyauk Myaung (East) Ward,",Yangon Region,Equipment & Supplies
" 09965068691, 09964056026","Safety Station Group Co.,Ltd.",South Okkalapa ,"477/B, Yadanar Rd., Ward (12),",Yangon Region,Equipment & Supplies
" 09253173995, 09263848662","Rising Sun Paints Co.,Ltd.",Hlaing Thar Yar,"B/108, P Moe Ninn St., Near Nawaday Shop House, Ward (6),",Yangon Region,Equipment & Supplies
" 095062415, 095062416, 01618354, 01618404, 01618403","Rising Sun Paints [Myanmar Chemical Engineers Group [9] Co.,Ltd.]",Shwe Pyi Thar,"121,Pade Wun U Shwe Bin St.,Industrial Zone (4)",Yangon Region,Equipment & Supplies
 095169575,Phan Tee Shin,South Okkalapa ,"198/2, Than Thu Mar Rd., Ward (14/3),",Yangon Region,Equipment & Supplies
" 01685860, 01684672, 09252308701",Rising Sun Paints [YGN Factory],Hlaing Thar Yar,"108, Makhayar Min Thar Gyi Mg Pyoe St., Industrial Zone (2),",Yangon Region,Equipment & Supplies
" 01256421, 0973200369",Red Bird,Pabedan,"69/B, 25th St., Lower Middle Block,",Yangon Region,Equipment & Supplies
" 01646833, 098610952, 095046028, 095081433",Paing Kyaw,Insein,"143, Bayint Naung Rd., Pauk Taw Ward,",Yangon Region,Equipment & Supplies
" 01375274, 0973011138, 095146010",Padauk Myaing,Pabedan,"722, Merchant Rd.,",Yangon Region,Equipment & Supplies
" 095141791, 0973073722, 09796609329",Shwe Kyal,Mayangone,"Rm 113, Oak Pon Seik St., Nawaday Cinema Compound, Ward (5),",Yangon Region,Equipment & Supplies
